type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-10 14:25:58,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,29,46,20230510-092558,GPS Logger: 20230510-092558
T,2023-05-10 14:25:59,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,29,46,,
T,2023-05-10 14:26:00,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,28,46,,
T,2023-05-10 14:26:01,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,28,46,,
T,2023-05-10 14:26:02,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,28,46,,
T,2023-05-10 14:26:03,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,29,46,,
T,2023-05-10 14:26:04,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,29,46,,
T,2023-05-10 14:26:05,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,29,46,,
T,2023-05-10 14:26:06,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,30,46,,
T,2023-05-10 14:26:07,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,31,46,,
T,2023-05-10 14:26:08,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,27,46,,
T,2023-05-10 14:26:09,6.28507667,-75.56834000,1.10,1461.215,23.785,0.000,,22,46,,
T,2023-05-10 14:26:10,6.28507667,-75.56834000,1.10,1461.215,23.785,0.000,,24,46,,
T,2023-05-10 14:26:11,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,28,46,,
T,2023-05-10 14:26:12,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,27,46,,
T,2023-05-10 14:26:13,6.28507667,-75.56834000,1.00,1461.215,23.785,0.000,,27,46,,
T,2023-05-10 14:26:14,6.28508667,-75.56832500,1.10,1461.515,23.785,5.254,193,28,46,,
T,2023-05-10 14:26:15,6.28503167,-75.56834167,1.30,1460.915,23.785,6.932,197,28,46,,
T,2023-05-10 14:26:16,6.28494833,-75.56837333,2.10,1459.815,23.785,8.551,202,27,46,,
T,2023-05-10 14:26:17,6.28484667,-75.56842333,2.40,1458.914,23.786,10.208,203,27,46,,
T,2023-05-10 14:26:18,6.28473667,-75.56848500,2.30,1458.113,23.787,12.481,208,28,46,,
T,2023-05-10 14:26:19,6.28462500,-75.56854500,2.30,1457.513,23.787,13.823,206,28,46,,
T,2023-05-10 14:26:20,6.28449667,-75.56860667,2.20,1457.012,23.788,15.718,205,28,46,,
T,2023-05-10 14:26:21,6.28436333,-75.56867500,2.20,1456.412,23.788,16.445,208,28,46,,
T,2023-05-10 14:26:22,6.28422333,-75.56874833,2.20,1455.711,23.789,16.782,208,27,46,,
