type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-10 16:31:46.500,6.28065333,-75.56807333,1.90,1455.506,23.794,0.088,9,19,41,20230510-113146,GPS Logger: 20230510-113146 - Viaje 4
T,2023-05-10 16:31:48,6.28065833,-75.56807833,2.00,1455.706,23.794,0.264,306,21,41,,
T,2023-05-10 16:31:49,6.28066000,-75.56808167,1.80,1455.806,23.794,0.066,138,22,41,,
T,2023-05-10 16:31:50,6.28066333,-75.56808500,1.70,1456.006,23.794,0.090,219,23,41,,
T,2023-05-10 16:31:51,6.28066667,-75.56809167,1.80,1456.006,23.794,0.145,212,22,41,,
T,2023-05-10 16:31:52,6.28066667,-75.56810167,1.80,1456.306,23.794,0.118,204,23,41,,
T,2023-05-10 16:31:53,6.28066500,-75.56810000,1.80,1456.406,23.794,0.656,97,23,41,,
T,2023-05-10 16:31:54,6.28066833,-75.56809833,2.00,1456.406,23.794,0.757,73,23,41,,
T,2023-05-10 16:31:55,6.28068167,-75.56809333,2.10,1456.206,23.794,1.133,40,23,41,,
T,2023-05-10 16:31:56,6.28070500,-75.56808667,2.20,1456.006,23.794,2.177,25,22,41,,
T,2023-05-10 16:31:57,6.28074500,-75.56807667,2.30,1455.906,23.794,3.800,17,23,41,,
T,2023-05-10 16:31:58,6.28081000,-75.56806500,2.30,1455.607,23.793,7.172,9,22,41,,
T,2023-05-10 16:31:59,6.28089667,-75.56805333,2.40,1455.107,23.793,8.873,8,21,41,,
T,2023-05-10 16:32:00,6.28100000,-75.56804500,2.40,1455.007,23.793,10.397,4,21,41,,
T,2023-05-10 16:32:01,6.28112667,-75.56804333,2.40,1454.907,23.793,13.047,1,22,41,,
T,2023-05-10 16:32:02,6.28126833,-75.56804667,2.40,1454.908,23.792,14.302,360,21,41,,
T,2023-05-10 16:32:03,6.28141667,-75.56805500,2.40,1455.008,23.792,15.237,359,23,41,,
T,2023-05-10 16:32:04,6.28157167,-75.56805667,2.40,1455.108,23.792,15.656,0,23,41,,
T,2023-05-10 16:32:05,6.28173000,-75.56805333,2.40,1455.009,23.791,16.781,2,23,41,,
T,2023-05-10 16:32:06,6.28189167,-75.56804833,2.40,1454.909,23.791,17.465,2,23,41,,
T,2023-05-10 16:32:07,6.28204667,-75.56804167,2.50,1454.910,23.790,17.570,1,22,41,,
T,2023-05-10 16:32:08,6.28220000,-75.56804500,2.40,1454.210,23.790,17.771,1,23,41,,
T,2023-05-10 16:32:09,6.28236667,-75.56804667,2.30,1454.210,23.790,18.322,359,24,41,,
T,2023-05-10 16:32:10,6.28253667,-75.56804667,2.30,1454.711,23.789,18.736,357,24,41,,
T,2023-05-10 16:32:11,6.28270500,-75.56804500,2.40,1454.811,23.789,18.698,360,24,41,,
T,2023-05-10 16:32:12,6.28287333,-75.56803500,2.40,1455.212,23.788,18.665,3,24,41,,
T,2023-05-10 16:32:13,6.28304500,-75.56801833,2.30,1455.712,23.788,18.684,8,25,41,,
T,2023-05-10 16:32:14,6.28321333,-75.56798333,2.40,1456.513,23.787,18.904,11,25,41,,
T,2023-05-10 16:32:15,6.28338167,-75.56793833,2.30,1457.413,23.787,18.535,16,25,41,,
T,2023-05-10 16:32:16,6.28354167,-75.56788333,2.30,1458.314,23.786,18.566,18,26,41,,
T,2023-05-10 16:32:17,6.28370667,-75.56782500,2.20,1459.915,23.785,18.318,19,26,41,,
T,2023-05-10 16:32:18,6.28386000,-75.56777500,2.30,1461.015,23.785,18.105,20,26,41,,
T,2023-05-10 16:32:19,6.28400833,-75.56771667,2.20,1461.916,23.784,18.085,20,27,41,,
T,2023-05-10 16:32:20,6.28415833,-75.56765667,2.00,1462.816,23.784,18.084,21,27,41,,
T,2023-05-10 16:32:21,6.28431333,-75.56759833,2.20,1463.717,23.783,18.122,20,27,41,,
T,2023-05-10 16:32:22,6.28447000,-75.56754333,2.20,1464.418,23.782,18.107,19,26,41,,
T,2023-05-10 16:32:23,6.28462833,-75.56748667,2.30,1464.518,23.782,17.978,19,27,41,,
T,2023-05-10 16:32:24,6.28478833,-75.56743667,2.20,1464.719,23.781,18.078,20,27,41,,
T,2023-05-10 16:32:25,6.28495000,-75.56738833,2.20,1465.120,23.780,18.586,19,27,41,,
T,2023-05-10 16:32:26,6.28510500,-75.56733333,2.20,1465.720,23.780,18.781,20,27,41,,
T,2023-05-10 16:32:27,6.28526500,-75.56727167,2.10,1465.821,23.779,19.278,21,28,41,,
T,2023-05-10 16:32:28,6.28542833,-75.56720167,2.10,1465.122,23.778,19.297,24,28,41,,
T,2023-05-10 16:32:29,6.28558667,-75.56712833,2.20,1463.822,23.778,19.281,25,28,41,,
T,2023-05-10 16:32:30,6.28575333,-75.56705833,2.10,1463.023,23.777,19.398,25,28,41,,
T,2023-05-10 16:32:31,6.28591500,-75.56697667,2.20,1462.424,23.776,19.929,25,28,41,,
T,2023-05-10 16:32:32,6.28607667,-75.56690167,2.20,1461.125,23.775,19.494,24,28,41,,
T,2023-05-10 16:32:33,6.28623333,-75.56683000,2.40,1460.125,23.775,19.302,25,28,41,,
T,2023-05-10 16:32:34,6.28639000,-75.56675500,2.40,1458.526,23.774,19.495,26,27,41,,
T,2023-05-10 16:32:35,6.28654833,-75.56667333,2.70,1457.227,23.773,18.503,27,25,41,,
T,2023-05-10 16:32:36,6.28667333,-75.56659667,2.50,1458.128,23.772,17.199,30,25,41,,
T,2023-05-10 16:32:37,6.28680167,-75.56652000,2.50,1458.828,23.772,17.326,30,26,41,,
T,2023-05-10 16:32:38,6.28693000,-75.56644500,2.40,1458.329,23.771,17.199,31,27,41,,
