type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-12 13:22:45.847,6.25081167,-75.56733500,2.20,1474.542,23.858,0.254,276,17,38,20230512-082245,GPS Logger: 20230512-082245 - Viajes 14
T,2023-05-12 13:22:47,6.25081500,-75.56733000,2.20,1474.542,23.858,0.446,110,16,38,,
T,2023-05-12 13:22:48,6.25081500,-75.56732500,2.20,1474.542,23.858,0.421,73,16,38,,
T,2023-05-12 13:22:49,6.25081833,-75.56731833,2.20,1474.642,23.858,0.044,139,18,38,,
T,2023-05-12 13:22:50,6.25082167,-75.56731500,2.20,1474.642,23.858,0.074,273,20,38,,
T,2023-05-12 13:22:51,6.25082500,-75.56731833,2.20,1474.742,23.858,0.346,192,19,38,,
T,2023-05-12 13:22:52,6.25082000,-75.56731833,2.20,1474.642,23.858,0.435,192,22,38,,
T,2023-05-12 13:22:53,6.25081833,-75.56731833,2.20,1474.542,23.858,0.227,167,21,38,,
T,2023-05-12 13:22:54,6.25081833,-75.56732500,2.20,1474.542,23.858,0.200,171,23,38,,
T,2023-05-12 13:22:55,6.25081833,-75.56733333,2.10,1474.542,23.858,0.210,223,22,38,,
T,2023-05-12 13:22:56,6.25081833,-75.56734167,2.10,1474.542,23.858,0.250,245,22,38,,
T,2023-05-12 13:22:57,6.25082167,-75.56734667,2.10,1474.442,23.858,0.098,291,23,38,,
T,2023-05-12 13:22:58,6.25082333,-75.56735500,2.10,1474.442,23.858,0.158,302,23,38,,
T,2023-05-12 13:22:59,6.25082333,-75.56735500,2.00,1474.442,23.858,0.214,327,23,38,,
T,2023-05-12 13:23:00,6.25082333,-75.56735500,2.00,1474.442,23.858,0.220,284,23,38,,
T,2023-05-12 13:23:01,6.25082500,-75.56737000,2.00,1474.242,23.858,0.207,234,21,38,,
T,2023-05-12 13:23:02,6.25082333,-75.56737667,2.00,1474.242,23.858,0.173,117,21,38,,
T,2023-05-12 13:23:03,6.25082167,-75.56738000,2.00,1474.242,23.858,0.151,222,24,38,,
T,2023-05-12 13:23:04,6.25082167,-75.56738000,2.00,1474.242,23.858,0.163,48,24,38,,
T,2023-05-12 13:23:05,6.25082167,-75.56738000,2.00,1474.242,23.858,0.178,45,25,38,,
T,2023-05-12 13:23:06,6.25082167,-75.56738000,2.00,1474.242,23.858,0.167,55,25,38,,
T,2023-05-12 13:23:07,6.25082167,-75.56738000,2.00,1474.242,23.858,0.000,,23,38,,
T,2023-05-12 13:23:08,6.25082167,-75.56738000,1.90,1474.242,23.858,0.000,,25,38,,
T,2023-05-12 13:23:09,6.25082167,-75.56738000,1.90,1474.242,23.858,0.000,,25,38,,
T,2023-05-12 13:23:10,6.25085000,-75.56738667,1.70,1474.442,23.858,0.000,,27,38,,
