type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-13 19:01:25,6.27273333,-75.59001667,2.60,1505.174,23.926,3.002,247,14,40,20230513-140125,GPS Logger: 20230513-140125 - 12
T,2023-05-13 19:01:26,6.27272833,-75.59003833,2.70,1505.374,23.926,0.000,,14,40,,
T,2023-05-13 19:01:27,6.27273000,-75.59004333,2.80,1505.574,23.926,0.000,,11,40,,
T,2023-05-13 19:01:28,6.27273333,-75.59004167,2.90,1505.574,23.926,0.000,,11,40,,
T,2023-05-13 19:01:29,6.27274000,-75.59003500,2.90,1505.674,23.926,0.000,,11,40,,
T,2023-05-13 19:01:30,6.27275167,-75.59003333,2.90,1505.574,23.926,0.000,,10,40,,
T,2023-05-13 19:01:31,6.27275833,-75.59003000,3.00,1505.474,23.926,0.000,,10,40,,
T,2023-05-13 19:01:32,6.27276500,-75.59002167,3.00,1505.374,23.926,0.000,,9,40,,
T,2023-05-13 19:01:33,6.27276833,-75.59001000,3.00,1505.274,23.926,0.000,,10,40,,
T,2023-05-13 19:01:34,6.27277167,-75.58999500,3.10,1505.074,23.926,0.000,,10,40,,
T,2023-05-13 19:01:35,6.27277500,-75.58998167,3.10,1504.974,23.926,0.000,,10,40,,
T,2023-05-13 19:01:36,6.27277667,-75.58997000,3.10,1504.774,23.926,0.000,,10,40,,
T,2023-05-13 19:01:37,6.27275333,-75.58993500,3.10,1504.875,23.925,0.000,,10,40,,
T,2023-05-13 19:01:39,6.27274667,-75.58992333,3.20,1504.575,23.925,0.000,,10,40,,
T,2023-05-13 19:01:40,6.27274667,-75.58991167,3.20,1504.475,23.925,0.000,,9,40,,
T,2023-05-13 19:01:41,6.27273667,-75.58990667,3.20,1504.375,23.925,0.000,,9,40,,
T,2023-05-13 19:01:42,6.27272667,-75.58990167,3.20,1504.275,23.925,0.000,,9,40,,
T,2023-05-13 19:01:43,6.27272000,-75.58990167,3.20,1504.175,23.925,0.000,,9,40,,
T,2023-05-13 19:01:44,6.27271333,-75.58990167,3.20,1504.175,23.925,0.000,,9,40,,
T,2023-05-13 19:01:45,6.27270833,-75.58990667,3.20,1504.175,23.925,0.000,,10,40,,
T,2023-05-13 19:01:46,6.27270667,-75.58990833,3.10,1504.175,23.925,0.000,,10,40,,
T,2023-05-13 19:01:47,6.27270667,-75.58990500,3.10,1504.175,23.925,0.000,,11,40,,
T,2023-05-13 19:01:48,6.27271167,-75.58989667,3.00,1504.275,23.925,0.000,,11,40,,
T,2023-05-13 19:01:49,6.27271500,-75.58989333,3.00,1504.275,23.925,0.000,,11,40,,
T,2023-05-13 19:01:50,6.27271833,-75.58989667,2.90,1504.375,23.925,0.000,,10,40,,
T,2023-05-13 19:01:51,6.27272167,-75.58990333,2.90,1504.375,23.925,0.000,,13,40,,
T,2023-05-13 19:01:52,6.27272500,-75.58991000,2.80,1504.475,23.925,0.000,,13,40,,
T,2023-05-13 19:01:53,6.27273333,-75.58990833,2.80,1504.475,23.925,0.000,,13,40,,
T,2023-05-13 19:01:54,6.27273167,-75.58991000,2.80,1504.475,23.925,0.000,,13,40,,
T,2023-05-13 19:01:55,6.27273167,-75.58991000,2.70,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:01:56,6.27273333,-75.58991500,2.70,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:01:57,6.27273333,-75.58991500,2.70,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:01:58,6.27273333,-75.58991500,2.70,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:01:59,6.27273333,-75.58991500,2.60,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:02:00,6.27273333,-75.58991500,2.60,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:02:01,6.27273333,-75.58991500,2.60,1504.575,23.925,0.000,,15,40,,
T,2023-05-13 19:02:02,6.27273000,-75.58994833,2.70,1504.974,23.926,0.000,,15,40,,
