type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-14 13:08:50,6.21886376,-75.57672787,6.03,1488.381,23.970,0.000,,16,21,20230514-080850,GPS Logger: 20230514-080850 - Viaje 10
T,2023-05-14 13:08:51,6.21886987,-75.57673524,5.79,1490.492,23.970,0.000,,16,21,,
T,2023-05-14 13:08:52,6.21887084,-75.57673668,5.26,1489.306,23.970,0.000,,18,22,,
T,2023-05-14 13:08:53,6.21887302,-75.57674303,4.72,1489.392,23.970,0.000,,18,22,,
T,2023-05-14 13:08:54,6.21887861,-75.57674711,4.60,1489.967,23.970,0.340,278,18,22,,
T,2023-05-14 13:08:55,6.21887818,-75.57674670,4.23,1489.319,23.970,0.220,191,14,20,,
T,2023-05-14 13:08:56,6.21888446,-75.57675100,3.89,1489.546,23.970,0.000,,14,20,,
T,2023-05-14 13:08:57,6.21888583,-75.57675209,3.79,1489.905,23.970,0.000,,14,20,,
T,2023-05-14 13:08:58,6.21889047,-75.57675596,3.79,1490.693,23.970,0.000,,14,20,,
T,2023-05-14 13:08:59,6.21888878,-75.57675458,3.79,1490.776,23.970,0.000,,14,20,,
T,2023-05-14 13:09:00,6.21888887,-75.57675028,3.79,1490.874,23.970,0.370,1,14,20,,
T,2023-05-14 13:09:01,6.21892079,-75.57674947,3.79,1490.052,23.970,3.890,5,14,20,,
T,2023-05-14 13:09:02,6.21897077,-75.57675073,3.79,1491.591,23.969,5.380,2,15,21,,
T,2023-05-14 13:09:03,6.21904241,-75.57674205,3.79,1491.999,23.969,7.770,4,16,21,,
T,2023-05-14 13:09:04,6.21912645,-75.57673529,3.79,1492.520,23.969,9.820,7,16,21,,
T,2023-05-14 13:09:05,6.21921629,-75.57672797,3.79,1491.725,23.969,10.130,4,17,22,,
T,2023-05-14 13:09:06,6.21931095,-75.57671990,3.79,1491.833,23.969,10.470,6,16,21,,
T,2023-05-14 13:09:07,6.21941172,-75.57671267,3.82,1492.019,23.968,10.920,7,14,20,,
T,2023-05-14 13:09:08,6.21951146,-75.57669992,3.89,1492.018,23.968,10.960,9,14,20,,
T,2023-05-14 13:09:09,6.21960821,-75.57668732,3.79,1493.196,23.968,10.750,9,14,20,,
T,2023-05-14 13:09:10,6.21969421,-75.57667093,3.82,1492.658,23.968,10.500,9,14,20,,
T,2023-05-14 13:09:11,6.21979609,-75.57666112,3.83,1491.893,23.967,10.180,8,14,20,,
T,2023-05-14 13:09:12,6.21988370,-75.57664153,3.91,1490.408,23.967,9.670,7,14,20,,
T,2023-05-14 13:09:13,6.21997225,-75.57662735,3.82,1490.992,23.967,9.580,2,14,20,,
T,2023-05-14 13:09:14,6.22005937,-75.57661998,3.83,1491.991,23.967,9.890,360,14,20,,
T,2023-05-14 13:09:15,6.22014419,-75.57661030,3.89,1490.930,23.966,10.000,3,14,20,,
T,2023-05-14 13:09:16,6.22023609,-75.57659478,4.04,1490.619,23.966,10.420,6,14,20,,
T,2023-05-14 13:09:17,6.22033235,-75.57657981,4.19,1490.441,23.966,10.800,6,14,20,,
T,2023-05-14 13:09:18,6.22043580,-75.57656398,4.32,1490.010,23.966,11.440,7,15,21,,
T,2023-05-14 13:09:19,6.22054526,-75.57654921,4.45,1489.856,23.965,11.870,6,15,21,,
T,2023-05-14 13:09:20,6.22065608,-75.57653714,4.31,1489.789,23.965,11.870,4,15,21,,
T,2023-05-14 13:09:21,6.22076469,-75.57652298,4.36,1491.113,23.965,12.020,4,14,21,,
T,2023-05-14 13:09:22,6.22086739,-75.57650676,4.40,1491.248,23.964,11.990,4,14,21,,
T,2023-05-14 13:09:23,6.22096883,-75.57649206,4.35,1490.115,23.964,11.790,6,15,21,,
T,2023-05-14 13:09:24,6.22107762,-75.57647670,4.43,1489.374,23.964,12.200,5,15,21,,
T,2023-05-14 13:09:25,6.22118639,-75.57646124,4.33,1489.714,23.964,12.260,5,15,21,,
T,2023-05-14 13:09:26,6.22130378,-75.57644572,4.21,1490.019,23.963,12.680,8,15,21,,
T,2023-05-14 13:09:27,6.22142378,-75.57642496,4.13,1489.740,23.963,13.160,9,15,21,,
T,2023-05-14 13:09:28,6.22154115,-75.57640620,4.09,1489.465,23.963,13.570,4,14,20,,
T,2023-05-14 13:09:29,6.22166926,-75.57639390,4.06,1489.531,23.962,13.970,3,14,20,,
T,2023-05-14 13:09:30,6.22180642,-75.57637491,3.90,1490.979,23.962,14.410,6,14,20,,
T,2023-05-14 13:09:31,6.22193415,-75.57635675,3.94,1491.048,23.962,14.760,6,14,20,,
T,2023-05-14 13:09:32,6.22207080,-75.57634360,3.95,1490.423,23.961,14.860,6,14,20,,
T,2023-05-14 13:09:33,6.22220410,-75.57632643,4.00,1492.038,23.961,14.960,6,14,20,,
T,2023-05-14 13:09:34,6.22233037,-75.57630469,3.94,1491.792,23.961,14.600,7,14,20,,
T,2023-05-14 13:09:35,6.22245850,-75.57628895,3.89,1491.369,23.960,13.750,4,13,20,,
T,2023-05-14 13:09:36,6.22256422,-75.57626949,3.81,1490.085,23.960,12.820,5,13,20,,
T,2023-05-14 13:09:37,6.22267340,-75.57625400,3.79,1490.222,23.960,12.130,6,12,19,,
T,2023-05-14 13:09:38,6.22278140,-75.57623955,3.79,1490.445,23.959,11.690,6,12,20,,
T,2023-05-14 13:09:39,6.22287115,-75.57621702,3.79,1488.368,23.959,11.300,8,13,20,,
T,2023-05-14 13:09:40,6.22296368,-75.57620165,3.79,1487.697,23.959,10.180,6,13,20,,
T,2023-05-14 13:09:41,6.22304303,-75.57619166,3.79,1487.222,23.959,8.820,3,14,20,,
T,2023-05-14 13:09:42,6.22311742,-75.57618058,3.79,1486.347,23.958,7.950,6,14,20,,
T,2023-05-14 13:09:43,6.22317902,-75.57615860,3.79,1485.464,23.958,7.210,20,14,20,,
T,2023-05-14 13:09:44,6.22323798,-75.57612797,3.79,1485.065,23.958,7.060,19,12,19,,
T,2023-05-14 13:09:45,6.22330794,-75.57610494,3.79,1485.150,23.958,7.370,13,12,19,,
T,2023-05-14 13:09:46,6.22337713,-75.57608646,3.79,1485.215,23.957,7.740,6,14,20,,
T,2023-05-14 13:09:47,6.22345061,-75.57607325,3.79,1485.326,23.957,8.340,2,14,20,,
T,2023-05-14 13:09:48,6.22353009,-75.57606019,3.79,1485.561,23.957,8.840,360,14,21,,
T,2023-05-14 13:09:49,6.22361281,-75.57604840,3.79,1485.496,23.957,9.230,359,15,21,,
T,2023-05-14 13:09:50,6.22369666,-75.57603901,3.79,1485.241,23.957,9.580,359,15,21,,
T,2023-05-14 13:09:51,6.22378714,-75.57602863,3.79,1484.839,23.956,9.990,1,15,21,,
T,2023-05-14 13:09:52,6.22388212,-75.57601941,3.79,1485.754,23.956,10.490,2,14,20,,
T,2023-05-14 13:09:53,6.22398070,-75.57600899,3.79,1485.619,23.956,11.140,1,11,19,,
T,2023-05-14 13:09:54,6.22408733,-75.57599417,3.79,1485.264,23.956,11.830,4,11,19,,
T,2023-05-14 13:09:55,6.22419933,-75.57597550,3.79,1485.198,23.955,12.530,9,11,19,,
T,2023-05-14 13:09:56,6.22431223,-75.57595167,3.79,1483.704,23.955,13.050,8,12,20,,
T,2023-05-14 13:09:57,6.22443775,-75.57593767,3.81,1484.825,23.955,13.800,9,13,20,,
T,2023-05-14 13:09:58,6.22456300,-75.57591068,3.86,1483.637,23.954,14.510,9,13,20,,
T,2023-05-14 13:09:59,6.22469721,-75.57588370,3.92,1483.042,23.954,14.770,10,14,20,,
T,2023-05-14 13:10:00,6.22482844,-75.57586711,3.84,1482.716,23.953,14.610,7,14,20,,
