type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-17 11:23:02,6.23351530,-75.59364434,7.45,1551.953,24.029,0.000,,13,26,20230517-062302,GPS Logger: 20230517-062302 - Honda-cb125f_ruta 12
T,2023-05-17 11:23:03,6.23351708,-75.59362827,6.82,1554.946,24.029,0.000,,13,26,,
T,2023-05-17 11:23:04,6.23350585,-75.59361002,7.69,1555.764,24.029,0.000,,13,26,,
T,2023-05-17 11:23:05,6.23348983,-75.59358826,8.21,1558.052,24.029,0.000,,13,26,,
T,2023-05-17 11:23:06,6.23349750,-75.59359608,8.27,1556.002,24.029,0.000,,13,26,,
T,2023-05-17 11:23:07,6.23351022,-75.59361091,7.97,1553.099,24.029,0.000,,10,26,,
T,2023-05-17 11:23:08,6.23351738,-75.59362992,8.12,1550.887,24.029,0.000,,12,26,,
T,2023-05-17 11:23:09,6.23352331,-75.59363981,7.40,1547.572,24.029,0.000,,12,26,,
T,2023-05-17 11:23:10,6.23351395,-75.59363864,7.42,1546.880,24.029,0.000,,11,26,,
T,2023-05-17 11:23:11,6.23351742,-75.59364599,6.75,1545.992,24.029,0.000,,12,26,,
T,2023-05-17 11:23:12,6.23351966,-75.59364886,6.03,1545.505,24.029,0.000,,14,26,,
T,2023-05-17 11:23:13,6.23360271,-75.59365756,5.34,1538.864,24.029,3.980,359,16,26,,
T,2023-05-17 11:23:14,6.23367213,-75.59365317,4.83,1530.172,24.029,4.860,7,16,26,,
T,2023-05-17 11:23:15,6.23373609,-75.59366546,5.42,1528.622,24.029,5.230,2,15,26,,
T,2023-05-17 11:23:16,6.23379608,-75.59366803,5.51,1527.792,24.029,6.390,13,15,26,,
T,2023-05-17 11:23:17,6.23385977,-75.59365520,5.74,1526.837,24.028,7.500,9,13,26,,
T,2023-05-17 11:23:18,6.23395171,-75.59368656,6.26,1527.113,24.028,8.550,0,11,26,,
